epoch,train_loss,val_loss,rmse,mae,nmad,delta1,delta2,delta3
1,125.38334002789277,120.12600204085724,308.5458935565423,274.2105443762561,157.55485924076055,0.0060628954120078285,0.012787060795257483,0.020912856385313615
2,111.57962296124715,98.13854944179101,260.80545131846907,221.15356432711928,157.1195791803594,0.04293974045837084,0.09284667202635202,0.157444302405865
3,90.72471477132979,79.49242141803269,218.1565386992729,175.28721474703406,155.00842889177284,0.11736052299479854,0.25029981196962275,0.4079273629867393
4,70.3113218604212,61.09728841913292,166.30626490415855,130.54691871642564,150.67860772268392,0.23784016746979153,0.4761317126414038,0.6947631886339789
5,58.4397197067329,55.41113397855696,144.133936176702,116.361430391245,148.75787679416828,0.3091073473118693,0.5885574402311106,0.7862939254338371
6,55.036918469144126,53.93079546933257,138.29366319375,112.86357414979967,144.5648431379146,0.3462031691362767,0.6302767658655761,0.7957399908472669
7,54.159080499574735,53.63677051567122,138.86777566447475,112.04235050443096,141.91208615264924,0.35349957892717865,0.6392007956158621,0.8044654073524311
